Name,VenueUrl,PricingUrl,CapacityUrl,Capacity,PriceRange,Address,Region,Type,DistanceMiles,PhotoUrls
Blackhawk Country Club,https://www.blackhawkcountryclub.com/,https://www.blackhawkcountryclub.com/,https://www.blackhawkcountryclub.com/,up to 280,Contact for pricing (luxury venue),"599 Blackhawk Club Dr, Danville CA 94506",Danville,Country Club,26.5,
Crow Canyon Country Club,https://www.crowcanyoncc.com/,https://www.crowcanyoncc.com/,https://www.crowcanyoncc.com/,up to 300,Contact for pricing (Mt Diablo views),"711 Silver Lake Dr, Danville CA 94526",Danville,Country Club,24.6,
Bridges Golf Club,https://www.thebridgesgolf.com/,https://www.thebridgesgolf.com/,https://www.thebridgesgolf.com/,up to 300,Contact for pricing (dramatic views),"9000 S Gale Ridge Rd, San Ramon CA 94583",San Ramon,Golf Club,27.1,
Wedgewood Metro Oakland,https://www.wedgewood-weddings.com/venues/northern-california/metropolitan,https://www.wedgewood-weddings.com/venues/northern-california/metropolitan,https://www.wedgewood-weddings.com/venues/northern-california/metropolitan,100-250,"Starting at $2,900 (SF skyline views)","10051 Doolittle Dr, Oakland CA 94603",Oakland,All-Inclusive,13.3,
Winchester Mystery House,https://winchestermysteryhouse.com/venues/,https://winchestermysteryhouse.com/venues/,https://winchestermysteryhouse.com/venues/,12-500,Contact for pricing (historic mansion),"525 S Winchester Blvd, San Jose CA 95128",San Jose,Historic/Unique,48.0,https://winchestermysteryhouse.com/wp-content/uploads/2022/08/ArcherInspiredPhotographyWinchesterMysteryHouseWeddingandPrivantEventRentalPhotos-17-copy-1024x683.jpg|https://winchestermysteryhouse.com/wp-content/uploads/2022/08/ArcherInspiredPhotographyWinchesterMysteryHouseWeddingandPrivantEventRentalPhotos-32-e1593625011929.jpg|https://winchestermysteryhouse.com/wp-content/uploads/2024/12/ArcherInspiredPhotographyWinchesterMysteryHouseWeddingandPrivantEventRentalPhotos-17-1-scaled.jpg|https://winchestermysteryhouse.com/wp-content/uploads/2025/02/ArcherInspiredPhotographyWinchesterMysteryHouseWeddingandPrivantEventRentalPhotos-1-scaled.jpg|https://winchestermysteryhouse.com/wp-content/uploads/2024/12/ArcherInspiredPhotographyWinchesterMysteryHouseSanJoseCaliforniaMoodyElopementWeddingPrivateEventPhotographer-21-copy-scaled.jpg
SF Botanical Garden,https://gggp.org/botanical-garden-event-rentals/,https://gggp.org/botanical-garden-event-rentals/,https://gggp.org/botanical-garden-event-rentals/,varies,Contact for pricing (55-acre garden),"1199 9th Ave, San Francisco CA 94122",San Francisco,Garden,15.3,https://gggp.org/wp-content/uploads/2023/11/venue_celebrationgarden.jpg|https://gggp.org/wp-content/uploads/2025/01/Private-events-467px-x-615px.jpg|https://gggp.org/wp-content/uploads/2025/04/Corporate-Membership-Private-Event-550x665-1.png|https://gggp.org/wp-content/uploads/2023/11/eventhero_flowerpiano.jpg|https://gggp.org/wp-content/uploads/2024/01/garden-of-fragrance-event-rental.jpg
Temescal Beach House,https://www.ebparks.org/reservations/event-venues,https://www.ebparks.org/reservations/event-venues,https://www.ebparks.org/reservations/event-venues,varies,Affordable park rates (lakeside),"6500 Broadway, Oakland CA 94618",Oakland,Park,3.9,
Fern Cottage (Kennedy Grove),https://www.ebparks.org/reservations/event-venues/fern-cottage,https://www.ebparks.org/reservations/event-venues/fern-cottage,https://www.ebparks.org/reservations/event-venues/fern-cottage,60-130,Affordable park rates (intimate forest),"6531 San Pablo Dam Rd, El Sobrante CA 94803",East Bay,Park,11.1,
Regional Parks Botanic Garden,https://nativeplants.org/visit/weddings-and-memorials,https://nativeplants.org/visit/weddings-and-memorials,https://nativeplants.org/visit/weddings-and-memorials,up to 30,$125-$200/hour (ceremony only),"Tilden Regional Park, Berkeley CA",Berkeley,Garden,3.2,https://images.squarespace-cdn.com/content/v1/666115df3fa3b24521c127ed/1719864482491-C7ALAQFHAIOFH42MBG9S/c-collage-11sp.jpg|https://images.squarespace-cdn.com/content/v1/666115df3fa3b24521c127ed/1719864482277-T43OG6134TTW5PNI9G4Y/c-collage-12sp.jpg|https://images.squarespace-cdn.com/content/v1/666115df3fa3b24521c127ed/1719864483901-E084X9Q8L8QPCKN3XMH8/c-collage-13sp.jpg|https://images.squarespace-cdn.com/content/v1/666115df3fa3b24521c127ed/1719864484827-Q7XR6YXQRIA0XWKQQR7G/c-collage-14sp.jpg|https://images.squarespace-cdn.com/content/v1/666115df3fa3b24521c127ed/1721066699064-Z34MXHHSC4BSPURL5B5Y/3-collage-11sp.jpg
Oakland Marriott City Center,https://www.marriott.com/en-us/hotels/oakdt-oakland-marriott-city-center/events/weddings/,https://www.marriott.com/en-us/hotels/oakdt-oakland-marriott-city-center/events/weddings/,https://www.marriott.com/en-us/hotels/oakdt-oakland-marriott-city-center/events/weddings/,varies,Contact for pricing (bay views),"1001 Broadway, Oakland CA 94607",Oakland,Hotel,5.2,"https://cache.marriott.com/is/image/marriotts7prod/wi-hnlwi-diamond-lawn-event-venue-37905|https://cache.marriott.com/is/image/marriotts7prod/xr-slcxr-wedding-venue-19512:Classic-Hor?wid=856&fit=constrain|https://cache.marriott.com//content/dam/marriott-renditions/DPSWR/dpswr-meetingroom-6422-hor-wide.jpg?output-quality=90&interpolation=progressive-bilinear;*,*&downsize=715px:*|https://cache.marriott.com/content/dam/marriott-renditions/ASEXR/asexr-wedding-4738-hor-clsc.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=1300px:*|https://cache.marriott.com/content/dam/marriott-renditions/SLCXR/slcxr-reception-6065-hor-clsc.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=856px:*"
Silverado Resort Napa,https://www.silveradoresort.com/,https://www.silveradoresort.com/,https://www.silveradoresort.com/,up to 300,"Starting at $25,000 (resort)","1600 Atlas Peak Rd, Napa CA 94558",Napa,Resort,42.2,
Estate Yountville,https://www.theestateyountville.com/,https://www.theestateyountville.com/,https://www.theestateyountville.com/,up to 300+,Contact for pricing (19th century estate),"6481 Washington St, Yountville CA 94599",Napa,Historic Estate,47.3,
Thomas Fogarty Winery,https://www.fogartywinery.com/,https://www.fogartywinery.com/,https://www.fogartywinery.com/,up to 200,Contact for pricing (panoramic bay views),"19501 Skyline Blvd, Woodside CA 94062",Peninsula,Winery,47.2,
Slide Ranch,https://slideranch.org/,https://slideranch.org/,https://slideranch.org/,up to 150,"$7,800-$11,800 (oceanfront farm)","2025 Shoreline Hwy, Muir Beach CA 94965",Marin,Ranch/Coastal,28.3,
Chart House SF,https://www.chart-house.com/private-events-venue/san-francisco-ca/,https://www.chart-house.com/private-events-venue/san-francisco-ca/,https://www.chart-house.com/private-events-venue/san-francisco-ca/,10-800,Contact for pricing (waterfront dining),"Pier 39, San Francisco CA 94133",San Francisco,Restaurant,12.4,"https://images.getbento.com/accounts/d96d0f4a1856c4306881283280d8e69f/media/images/processed-B7920305-CC7E-4E49-8DBA-A09A4C9BCBFF.jpeg?w=1000&fit=max&auto=compress,format&cs=origin&h=1000|https://images.getbento.com/accounts/d96d0f4a1856c4306881283280d8e69f/media/images/processed-3687D638-F414-4D05-BA33-9ACF39375D14.jpeg?w=1000&fit=max&auto=compress,format&cs=origin&h=1000|https://images.getbento.com/accounts/d96d0f4a1856c4306881283280d8e69f/media/images/processed-67668C37-3A44-4AF1-87D6-7B48D9141C57.jpeg?w=1000&fit=max&auto=compress,format&cs=origin&h=1000|https://images.getbento.com/accounts/d96d0f4a1856c4306881283280d8e69f/media/images/CH_--_Family_pack_1.jpeg?w=1000&fit=max&auto=compress,format&h=1000|https://images.getbento.com/accounts/d96d0f4a1856c4306881283280d8e69f/media/images/DC2-SQUARE-2025.png?w=1000&fit=max&auto=compress,format&cs=origin&h=1000"
Dogpatch Wine Works,https://www.dogpatchwineworks.com/,https://www.dogpatchwineworks.com/,https://www.dogpatchwineworks.com/,140-250,"$5,000 rental (industrial-chic)","2455 3rd St, San Francisco CA 94107",San Francisco,Industrial/Unique,12.4,
